postcode,region_name,market_share_pct,market_size_dollars,customer_penetration_pct,spend_per_customer,spend_per_transaction,transactions_per_customer,nearest_store,distance_km,distance_tier,yoy_share_pct,share_trend_pp,period,yoy_period
2617,Belconnen,0.909,95114.0,3.559,89.78,50.66,1.77,Majura Park,10.45,Extended (10-20km),1.094,-0.185,202512,202412
2618,Wallaroo (NSW),1.467,6088.0,6.879,103.97,71.69,1.45,Majura Park,21.01,No Presence (20km+),1.109,0.358,202512,202412
2619,Jerrabomberra,1.667,55455.0,8.087,114.05,74.76,1.53,Majura Park,10.36,Extended (10-20km),1.999,-0.332,202512,202412
2620,Karabar,1.86,300439.0,6.148,137.2,78.91,1.74,Majura Park,16.22,Extended (10-20km),1.616,0.244,202512,202412
2621,Bungendore,2.744,75086.0,9.352,191.46,106.56,1.8,Majura Park,26.14,No Presence (20km+),3.124,-0.38,202512,202412
2622,Braidwood,1.253,14336.0,3.468,166.24,122.38,1.36,Majura Park,62.13,No Presence (20km+),2.88,-1.627,202512,202412
2623,Captains Flat,,,,,,,Majura Park,42.04,No Presence (20km+),,,202512,202412
2625,Thredbo,,,,,,,Albury,126.91,No Presence (20km+),,,202512,202412
2626,Bredbo,,,,,,,Majura Park,64.6,No Presence (20km+),,,202512,202412
2627,Jindabyne,0.989,19336.0,4.307,117.69,87.22,1.35,Majura Park,140.12,No Presence (20km+),0.97,0.019,202512,202412
2628,Berridale,1.039,14539.0,3.501,171.33,103.59,1.65,Majura Park,124.34,No Presence (20km+),0.539,0.5,202512,202412
2629,Adaminaby,,,,,,,Majura Park,80.87,No Presence (20km+),,,202512,202412
2630,Cooma (NSW),0.603,24369.0,2.365,154.84,101.06,1.53,Majura Park,90.37,No Presence (20km+),0.512,0.091,202512,202412
2631,Nimmitabel,,,,,,,Majura Park,145.05,No Presence (20km+),,,202512,202412
2632,Bombala,,,,,,,Majura Park,176.6,No Presence (20km+),,,202512,202412
2633,Delegate,,,,,,,Majura Park,184.88,No Presence (20km+),,,202512,202412
2640,Thurgoona,6.979,1079457.0,22.993,154.0,70.07,2.2,Albury,0.0,Core (0-3km),8.243,-1.264,202512,202412
2641,Lavington,3.547,177621.0,13.255,110.36,61.1,1.81,Albury,8.45,Secondary (5-10km),3.843,-0.296,202512,202412
2642,Jindera,3.77,80962.0,13.248,159.84,101.89,1.57,Albury,31.18,No Presence (20km+),5.48,-1.71,202512,202412
2643,Howlong,1.74,19140.0,7.96,112.61,83.27,1.35,Albury,35.65,No Presence (20km+),2.373,-0.633,202512,202412
2644,Holbrook,4.951,47360.0,17.461,171.08,105.91,1.62,Albury,39.27,No Presence (20km+),6.245,-1.294,202512,202412
2645,Urana,,,,,,,Albury,102.13,No Presence (20km+),,,202512,202412
2646,Corowa,1.047,28185.0,4.649,127.89,107.78,1.19,Albury,67.4,No Presence (20km+),1.417,-0.37,202512,202412
2647,Mulwala,0.541,6711.0,1.99,127.0,108.8,1.17,Albury,91.92,No Presence (20km+),1.15,-0.609,202512,202412
2648,Wentworth (NSW),,,,,,,Albury,522.4,No Presence (20km+),,,202512,202412
2650,Wagga Wagga,0.318,59527.0,1.102,128.7,103.15,1.25,Albury,99.05,No Presence (20km+),0.267,0.051,202512,202412
2651,Forest Hill (NSW),,,,,,,Albury,104.64,No Presence (20km+),,,202512,202412
2652,Grong Grong,0.415,6957.0,1.324,166.59,139.33,1.2,Albury,129.44,No Presence (20km+),0.636,-0.221,202512,202412
2653,Tumbarumba,,,,,,,Albury,94.55,No Presence (20km+),,,202512,202412
2655,The Rock,,,,,,,Albury,83.64,No Presence (20km+),1.411,,202512,202412
2656,Lockhart,,,,,,,Albury,80.57,No Presence (20km+),,,202512,202412
2658,Henty (NSW),1.548,9501.0,5.048,152.85,91.55,1.67,Albury,57.88,No Presence (20km+),3.419,-1.871,202512,202412
2659,Walla Walla,2.41,9964.0,13.001,99.14,70.79,1.4,Albury,30.62,No Presence (20km+),4.308,-1.898,202512,202412
2660,Culcairn,2.819,9318.0,10.732,111.27,93.58,1.19,Albury,39.7,No Presence (20km+),4.094,-1.275,202512,202412
2661,Kapooka,,,,,,,Albury,98.57,No Presence (20km+),,,202512,202412
2663,Junee,0.273,7258.0,1.071,142.05,116.03,1.22,Albury,130.62,No Presence (20km+),,,202512,202412
2665,Ariah Park,,,,,,,Albury,184.9,No Presence (20km+),,,202512,202412
2666,Temora,,,,,,,Majura Park,173.15,No Presence (20km+),,,202512,202412
2668,Barmedman,,,,,,,Orange,192.88,No Presence (20km+),,,202512,202412
2669,Weethalle,,,,,,,Orange,242.57,No Presence (20km+),,,202512,202412
2671,West Wyalong,0.461,3371.0,1.377,97.07,74.76,1.3,Orange,198.3,No Presence (20km+),,,202512,202412
2672,Lake Cargelligo,,,,,,,Orange,259.52,No Presence (20km+),,,202512,202412
2675,Hillston,,,,,,,Albury,329.27,No Presence (20km+),,,202512,202412
2680,Griffith (NSW),0.141,9002.0,0.677,78.36,60.09,1.3,Albury,209.47,No Presence (20km+),0.227,-0.086,202512,202412
2681,Yenda (NSW),,,,,,,Albury,210.88,No Presence (20km+),,,202512,202412
2700,Narrandera,,,,,,,Albury,141.36,No Presence (20km+),,,202512,202412
2701,Coolamon,,,,,,,Albury,141.02,No Presence (20km+),,,202512,202412
2703,Yanco,,,,,,,Albury,167.49,No Presence (20km+),,,202512,202412
2705,Leeton,0.216,8536.0,0.689,166.11,66.04,2.52,Albury,177.95,No Presence (20km+),0.144,0.072,202512,202412
2706,Darlington Point,,,,,,,Albury,186.14,No Presence (20km+),,,202512,202412
2710,Deniliquin,0.217,8295.0,1.148,99.21,95.43,1.04,Albury,200.74,No Presence (20km+),0.134,0.083,202512,202412
2711,Hay (NSW),,,,,,,Albury,293.42,No Presence (20km+),,,202512,202412
2712,Berrigan,,,,,,,Albury,113.65,No Presence (20km+),,,202512,202412
2713,Finley,0.188,2762.0,1.23,85.03,80.8,1.05,Albury,150.66,No Presence (20km+),,,202512,202412
2714,Tocumwal,,,,,,,Albury,148.69,No Presence (20km+),,,202512,202412
2716,Jerilderie,,,,,,,Albury,194.43,No Presence (20km+),,,202512,202412
2720,Tumut,0.114,3623.0,0.862,72.09,71.13,1.01,Majura Park,73.12,No Presence (20km+),,,202512,202412
2722,Gundagai,,,,,,,Majura Park,86.5,No Presence (20km+),0.95,,202512,202412
2727,Coolac,,,,,,,Majura Park,85.41,No Presence (20km+),,,202512,202412
2729,Adelong,,,,,,,Majura Park,113.5,No Presence (20km+),,,202512,202412
2730,Batlow,,,,,,,Majura Park,78.15,No Presence (20km+),,,202512,202412
2731,Moama,,,,,,,Albury,212.9,No Presence (20km+),,,202512,202412
2732,Barham,,,,,,,Albury,253.87,No Presence (20km+),,,202512,202412
2734,Mellool,,,,,,,Albury,317.34,No Presence (20km+),,,202512,202412
2738,Gol Gol,,,,,,,Albury,468.6,No Presence (20km+),,,202512,202412
2745,Glenmore Park,0.09,9886.0,0.597,73.84,59.08,1.25,Dural,45.02,No Presence (20km+),0.14,-0.05,202512,202412
2747,Jordan Springs,0.079,12537.0,0.509,61.54,46.39,1.33,Dural,36.8,No Presence (20km+),0.041,0.038,202512,202412
2748,Orchard Hills,,,,,,,Dural,39.56,No Presence (20km+),,,202512,202412
2749,Cranebrook,0.064,3596.0,0.43,71.09,59.46,1.2,Dural,41.51,No Presence (20km+),0.052,0.012,202512,202412
2750,Penrith,0.179,27653.0,0.677,109.54,68.21,1.61,Dural,43.0,No Presence (20km+),0.106,0.073,202512,202412
2752,Silverdale (NSW),0.112,2842.0,0.639,93.77,58.77,1.6,Miranda,49.62,No Presence (20km+),,,202512,202412
2753,Richmond (NSW),0.212,13602.0,0.964,104.71,61.87,1.69,Dural,43.34,No Presence (20km+),0.14,0.072,202512,202412
2754,North Richmond,0.202,5514.0,0.901,111.2,96.4,1.15,Dural,44.89,No Presence (20km+),0.147,0.055,202512,202412
2756,South Windsor,0.387,45909.0,1.419,136.51,87.85,1.55,Dural,38.56,No Presence (20km+),0.09,0.297,202512,202412
2757,Kurmond,,,,,,,Dural,46.74,No Presence (20km+),,,202512,202412
2758,Kurrajong,0.413,14660.0,2.059,115.98,69.2,1.68,Dural,55.54,No Presence (20km+),0.202,0.211,202512,202412
2759,St Clair (Penrith - NSW),0.112,8440.0,0.449,101.38,65.5,1.55,Dural,32.49,No Presence (20km+),0.055,0.057,202512,202412
2760,St Marys (NSW),0.102,8765.0,0.565,57.94,39.93,1.45,Dural,31.97,No Presence (20km+),0.097,0.005,202512,202412
2761,Plumpton (NSW),0.124,8586.0,0.54,68.27,46.6,1.47,Dural,27.08,No Presence (20km+),0.087,0.037,202512,202412
2762,Schofields,0.243,17224.0,1.164,64.14,44.57,1.44,Dural,25.42,No Presence (20km+),0.14,0.103,202512,202412
2763,Quakers Hill,0.293,23845.0,1.118,90.6,60.14,1.51,Dural,22.13,No Presence (20km+),0.118,0.175,202512,202412
2765,Marsden Park,0.524,92265.0,1.844,100.37,65.1,1.54,Dural,27.81,No Presence (20km+),0.142,0.382,202512,202412
2766,Rooty Hill,0.135,4305.0,0.443,82.09,50.8,1.62,Dural,27.06,No Presence (20km+),0.084,0.051,202512,202412
2767,Doonside,0.157,7079.0,0.566,75.86,52.59,1.44,Dural,24.6,No Presence (20km+),0.063,0.094,202512,202412
2768,Glenwood (NSW),0.506,33123.0,1.534,108.5,64.56,1.68,Dural,19.85,Extended (10-20km),0.242,0.264,202512,202412
2769,The Ponds,0.41,15120.0,1.276,111.7,84.5,1.32,Dural,21.78,No Presence (20km+),0.169,0.241,202512,202412
2770,Mount Druitt,0.059,7052.0,0.284,60.2,44.58,1.35,Dural,30.25,No Presence (20km+),0.028,0.031,202512,202412
2773,Glenbrook,0.422,8640.0,2.366,92.07,58.89,1.56,Dural,47.3,No Presence (20km+),0.335,0.087,202512,202412
2774,Blaxland (NSW),0.199,9668.0,1.094,95.23,67.93,1.4,Dural,48.68,No Presence (20km+),0.101,0.098,202512,202412
2775,Gunderman,1.777,10267.0,9.912,97.32,83.25,1.17,Erina,25.17,No Presence (20km+),2.49,-0.713,202512,202412
2776,Faulconbridge,,,,,,,Dural,56.22,No Presence (20km+),0.221,,202512,202412
2777,Springwood (NSW),0.251,17462.0,1.151,115.51,72.59,1.59,Dural,49.97,No Presence (20km+),0.201,0.05,202512,202412
2778,Woodford (NSW),,,,,,,Dural,59.83,No Presence (20km+),,,202512,202412
2779,Hazelbrook,0.443,5759.0,1.894,100.2,78.03,1.28,Dural,62.9,No Presence (20km+),0.223,0.22,202512,202412
2780,Katoomba,0.463,24259.0,2.55,89.23,56.37,1.58,Dural,77.07,No Presence (20km+),0.462,0.001,202512,202412
2782,Wentworth Falls,0.53,13382.0,2.75,102.71,68.1,1.51,Dural,70.67,No Presence (20km+),0.37,0.16,202512,202412
2783,Lawson (NSW),,,,,,,Dural,65.57,No Presence (20km+),0.372,,202512,202412
2784,Bullaburra,,,,,,,Dural,66.63,No Presence (20km+),,,202512,202412
2785,Blackheath,0.323,6691.0,2.132,83.96,47.71,1.76,Bowral,79.66,No Presence (20km+),0.58,-0.257,202512,202412
2786,Mount Victoria,,,,,,,Dural,81.23,No Presence (20km+),,,202512,202412
2787,Oberon,0.221,4180.0,1.035,121.87,105.71,1.15,Bowral,80.44,No Presence (20km+),0.107,0.114,202512,202412
2790,Lithgow,0.112,5922.0,0.713,74.41,50.6,1.47,Orange,83.58,No Presence (20km+),0.058,0.054,202512,202412
2791,Panuara,12.523,19281.0,29.325,236.65,106.44,2.22,Orange,29.71,No Presence (20km+),10.54,1.983,202512,202412
2792,Mandurama,4.303,6122.0,15.371,124.4,82.3,1.51,Orange,38.27,No Presence (20km+),5.304,-1.001,202512,202412
2793,Woodstock (Cowra - NSW),,,,,,,Orange,63.39,No Presence (20km+),,,202512,202412
2794,Cowra,0.662,26218.0,2.514,134.36,102.9,1.31,Orange,80.76,No Presence (20km+),0.34,0.322,202512,202412
2795,Kelso (NSW),0.403,60309.0,1.814,102.0,69.41,1.47,Orange,39.99,No Presence (20km+),0.328,0.075,202512,202412
2797,Lyndhurst (Blayney - NSW),,,,,,,Orange,43.76,No Presence (20km+),,,202512,202412
2798,Millthorpe,7.81,45029.0,25.34,174.54,98.78,1.77,Orange,15.66,Extended (10-20km),7.363,0.447,202512,202412
2799,Blayney,3.836,37822.0,10.956,131.89,63.17,2.09,Orange,26.43,No Presence (20km+),4.04,-0.204,202512,202412
2800,Orange,8.197,1347463.0,29.793,134.34,60.74,2.21,Orange,0.0,Core (0-3km),7.891,0.306,202512,202412
2804,Canowindra,3.099,23658.0,10.041,126.25,92.81,1.36,Orange,60.99,No Presence (20km+),2.098,1.001,202512,202412
2805,Gooloogong,,,,,,,Orange,82.83,No Presence (20km+),,,202512,202412
2806,Eugowra,,,,,,,Orange,80.31,No Presence (20km+),,,202512,202412
2807,Koorawatha,,,,,,,Orange,100.07,No Presence (20km+),,,202512,202412
2809,Greenethorpe,,,,,,,Orange,106.74,No Presence (20km+),,,202512,202412
2810,Grenfell,,,,,,,Orange,130.96,No Presence (20km+),0.444,,202512,202412
2818,Geurie,,,,,,,Orange,109.91,No Presence (20km+),,,202512,202412
2820,Wellington (NSW),0.398,9362.0,1.928,95.51,86.88,1.1,Orange,65.09,No Presence (20km+),0.409,-0.011,202512,202412
2821,Narromine,,,,,,,Orange,152.83,No Presence (20km+),,,202512,202412
2822,Eumungerie,,,,,,,Orange,168.28,No Presence (20km+),,,202512,202412
2823,Trangie,,,,,,,Orange,191.78,No Presence (20km+),,,202512,202412
2824,Warren,0.281,2401.0,2.102,74.6,61.16,1.22,Orange,197.68,No Presence (20km+),0.459,-0.178,202512,202412
2825,Nyngan,,,,,,,Orange,243.55,No Presence (20km+),,,202512,202412
2826,Nevertire,,,,,,,Orange,217.7,No Presence (20km+),,,202512,202412
2827,Gilgandra,0.317,4316.0,1.767,89.03,71.2,1.25,Orange,193.73,No Presence (20km+),,,202512,202412
2828,Gulargambone,,,,,,,Orange,232.0,No Presence (20km+),,,202512,202412
2829,Coonamble,,,,,,,Orange,289.69,No Presence (20km+),,,202512,202412
2830,Dubbo,0.21,30808.0,1.258,77.33,67.5,1.15,Orange,135.99,No Presence (20km+),0.198,0.012,202512,202412
2831,Wongarbon,,,,,,,Orange,219.32,No Presence (20km+),,,202512,202412
2832,Walgett,,,,,,,Orange,399.92,No Presence (20km+),,,202512,202412
2834,Lightning Ridge,,,,,,,Orange,468.44,No Presence (20km+),,,202512,202412
2835,Cobar,,,,,,,Orange,309.34,No Presence (20km+),0.146,,202512,202412
2839,Brewarrina,,,,,,,Orange,457.7,No Presence (20km+),,,202512,202412
2840,Bourke,,,,,,,Orange,540.72,No Presence (20km+),,,202512,202412
2844,Dunedoo,,,,,,,Orange,143.94,No Presence (20km+),,,202512,202412
2845,Wallerawang,,,,,,,Orange,77.74,No Presence (20km+),,,202512,202412
2847,Portland (NSW),,,,,,,Orange,69.63,No Presence (20km+),,,202512,202412
2848,Kandos,,,,,,,Orange,82.99,No Presence (20km+),,,202512,202412
2849,Rylstone,0.758,5994.0,2.728,140.31,126.39,1.11,Orange,104.6,No Presence (20km+),,,202512,202412
2850,Mudgee,0.249,15754.0,1.316,95.81,70.26,1.36,Orange,89.28,No Presence (20km+),0.272,-0.023,202512,202412
2852,Gulgong,0.094,2364.0,0.787,69.02,40.65,1.7,Orange,116.51,No Presence (20km+),,,202512,202412
2864,Cudal,3.038,10824.0,19.278,96.99,65.87,1.47,Orange,48.38,No Presence (20km+),3.879,-0.841,202512,202412
2865,Manildra,4.048,12682.0,16.917,127.92,76.97,1.66,Orange,59.82,No Presence (20km+),4.785,-0.737,202512,202412
2866,Molong,3.666,76309.0,16.2,133.64,76.23,1.75,Orange,45.76,No Presence (20km+),3.406,0.26,202512,202412
2867,Cumnock,,,,,,,Orange,70.81,No Presence (20km+),,,202512,202412
2868,Yeoval,,,,,,,Orange,87.94,No Presence (20km+),,,202512,202412
2869,Peak Hill (NSW),,,,,,,Orange,125.02,No Presence (20km+),,,202512,202412
2870,Parkes (NSW),0.642,28472.0,3.467,95.33,88.27,1.08,Orange,97.05,No Presence (20km+),0.488,0.154,202512,202412
2871,Forbes (NSW),1.052,26618.0,3.313,131.88,97.92,1.35,Orange,126.33,No Presence (20km+),0.675,0.377,202512,202412
2873,Tottenham (NSW),,,,,,,Orange,212.27,No Presence (20km+),,,202512,202412
2875,Trundle,,,,,,,Orange,156.77,No Presence (20km+),,,202512,202412
2877,Condobolin,1.135,10639.0,3.715,108.82,106.13,1.03,Orange,248.52,No Presence (20km+),0.649,0.486,202512,202412
2879,Menindee,,,,,,,Albury,593.63,No Presence (20km+),,,202512,202412
2880,Broken Hill,0.076,4960.0,0.243,163.4,104.12,1.57,Albury,726.07,No Presence (20km+),,,202512,202412
2898,Lord Howe Island,,,,,,,Orange,130.91,No Presence (20km+),,,202512,202412
2899,Norfolk Island,,,,,,,Orange,130.91,No Presence (20km+),,,202512,202412
2900,Greenway,0.851,14216.0,2.599,120.9,65.54,1.84,Majura Park,13.86,Extended (10-20km),1.048,-0.197,202512,202412
2902,Kambah,0.749,41015.0,3.085,116.15,79.51,1.46,Majura Park,11.47,Extended (10-20km),0.71,0.039,202512,202412
2903,Wanniassa,1.016,31769.0,3.703,126.81,90.76,1.4,Majura Park,11.83,Extended (10-20km),0.855,0.161,202512,202412
2904,Monash (ACT),0.951,41728.0,3.811,120.15,84.46,1.42,Majura Park,11.78,Extended (10-20km),1.002,-0.051,202512,202412
2905,Calwell,0.8,73542.0,3.774,97.08,69.23,1.4,Majura Park,13.96,Extended (10-20km),0.854,-0.054,202512,202412
2906,Gordon (ACT),0.739,45923.0,3.326,110.74,74.07,1.5,Majura Park,17.74,Extended (10-20km),0.855,-0.116,202512,202412
2911,Crace,2.343,20001.0,7.411,88.34,64.6,1.37,Majura Park,10.14,Extended (10-20km),1.642,0.701,202512,202412
2912,Gungahlin,1.776,41882.0,6.395,90.68,46.71,1.94,Majura Park,13.38,Extended (10-20km),1.617,0.159,202512,202412
2913,Franklin (ACT),1.501,150816.0,5.613,92.83,55.34,1.68,Majura Park,14.51,Extended (10-20km),1.479,0.022,202512,202412
2914,Harrison,1.924,176367.0,7.288,102.31,56.1,1.82,Majura Park,14.96,Extended (10-20km),1.985,-0.061,202512,202412
3682,Springhurst,2.218,6883.0,7.968,153.33,93.73,1.64,Albury,54.36,No Presence (20km+),,,202512,202412
3683,Chiltern,1.54,12297.0,6.608,129.94,102.89,1.26,Albury,42.32,No Presence (20km+),1.764,-0.224,202512,202412
3685,Rutherglen,1.572,23287.0,7.535,120.08,68.46,1.75,Albury,53.58,No Presence (20km+),1.155,0.417,202512,202412
3687,Wahgunyah,1.515,7061.0,5.166,161.36,127.84,1.26,Albury,53.32,No Presence (20km+),,,202512,202412
3688,Barnawartha,4.7,15307.0,7.786,335.6,201.24,1.67,Albury,35.91,No Presence (20km+),,,202512,202412
3690,Wodonga,1.912,223444.0,7.456,116.43,72.52,1.61,Albury,18.22,Extended (10-20km),2.094,-0.182,202512,202412
3691,Baranduda,2.864,165136.0,10.164,150.82,94.29,1.6,Albury,28.15,No Presence (20km+),3.225,-0.361,202512,202412
3695,Sandy Creek (Vic.),5.537,12213.0,11.673,273.35,124.96,2.19,Albury,28.96,No Presence (20km+),7.109,-1.572,202512,202412
3700,Tallangatta,1.488,7940.0,7.7,115.91,71.94,1.61,Albury,28.54,No Presence (20km+),2.301,-0.813,202512,202412
3701,Dartmouth,3.879,11676.0,10.466,213.2,101.65,2.1,Albury,47.37,No Presence (20km+),3.092,0.787,202512,202412
3747,Beechworth,1.733,42186.0,6.904,158.33,101.49,1.56,Albury,48.94,No Presence (20km+),1.706,0.027,202512,202412
3749,Yackandandah,6.964,35400.0,11.787,236.93,122.84,1.93,Albury,41.88,No Presence (20km+),6.275,0.689,202512,202412
4000,Brisbane City,2.648,214330.0,7.577,127.21,58.4,2.18,West End,0.0,Core (0-3km),2.018,0.63,202512,202412
4005,New Farm,1.628,108036.0,5.562,128.21,69.54,1.84,Clayfield,0.0,Core (0-3km),1.509,0.119,202512,202412
4006,Fortitude Valley,1.296,128514.0,4.534,107.46,55.71,1.93,Clayfield,2.13,Core (0-3km),1.052,0.244,202512,202412
4007,Hamilton (Qld),4.421,259762.0,13.2,167.25,79.81,2.1,Clayfield,5.18,Secondary (5-10km),4.201,0.22,202512,202412
4008,Pinkenba,,,,,,,Clayfield,8.88,Secondary (5-10km),,,202512,202412
4009,Eagle Farm,2.916,13297.0,9.102,134.32,86.92,1.55,Clayfield,5.47,Secondary (5-10km),1.678,1.238,202512,202412
4010,Albion (Brisbane - Qld),2.916,44921.0,11.336,114.94,54.25,2.12,Clayfield,2.73,Core (0-3km),3.203,-0.287,202512,202412
4011,Clayfield,10.197,646205.0,33.746,155.91,52.55,2.97,Clayfield,5.1,Secondary (5-10km),9.744,0.453,202512,202412
4012,Nundah,3.984,352399.0,12.943,140.62,66.15,2.13,Clayfield,6.7,Secondary (5-10km),4.247,-0.263,202512,202412
4013,Northgate (Qld),3.623,51577.0,10.929,131.15,64.36,2.04,Clayfield,8.29,Secondary (5-10km),3.769,-0.146,202512,202412
4014,Banyo,1.573,73788.0,5.709,129.63,68.28,1.9,Clayfield,10.77,Extended (10-20km),1.977,-0.404,202512,202412
4017,Bracken Ridge,0.771,101978.0,2.586,136.9,89.85,1.52,Clayfield,16.24,Extended (10-20km),0.81,-0.039,202512,202412
4018,Taigum,0.447,19844.0,1.696,105.18,52.4,2.01,Clayfield,13.46,Extended (10-20km),0.351,0.096,202512,202412
4019,Clontarf (Moreton Bay - Qld),0.237,17468.0,1.066,99.07,81.89,1.21,Clayfield,23.72,No Presence (20km+),0.342,-0.105,202512,202412
4020,Redcliffe (Qld),0.338,35782.0,1.278,128.23,77.43,1.66,Clayfield,28.39,No Presence (20km+),0.279,0.059,202512,202412
4021,Kippa-Ring,0.149,5083.0,0.611,110.69,61.02,1.81,Clayfield,26.47,No Presence (20km+),0.072,0.077,202512,202412
4022,Rothwell,,,,,,,Clayfield,27.52,No Presence (20km+),,,202512,202412
4025,Moreton Island,,,,,,,Clayfield,47.87,No Presence (20km+),,,202512,202412
4030,Windsor (Qld),4.446,293893.0,12.242,148.98,68.92,2.16,Clayfield,4.43,Primary (3-5km),4.332,0.114,202512,202412
4031,Kedron,2.194,113775.0,6.645,153.43,79.07,1.94,Clayfield,6.0,Secondary (5-10km),2.038,0.156,202512,202412
4032,Chermside,0.647,39947.0,2.59,100.17,60.02,1.67,Clayfield,8.95,Secondary (5-10km),0.563,0.084,202512,202412
4034,Aspley,0.708,109276.0,2.566,121.5,73.82,1.65,Clayfield,11.44,Extended (10-20km),0.699,0.009,202512,202412
4035,Albany Creek,0.368,41209.0,1.847,106.92,72.33,1.48,West End,12.97,Extended (10-20km),0.373,-0.005,202512,202412
4036,Bald Hills (Qld),0.283,6545.0,1.248,103.76,50.64,2.05,West End,16.08,Extended (10-20km),0.084,0.199,202512,202412
4037,Eatons Hill,0.144,4524.0,1.064,75.09,61.96,1.21,West End,15.33,Extended (10-20km),0.141,0.003,202512,202412
4051,Alderley,0.788,83165.0,3.572,101.65,67.39,1.51,West End,47.02,No Presence (20km+),0.794,-0.006,202512,202412
4053,Everton Park,0.599,103381.0,2.596,107.51,60.98,1.76,West End,8.09,Secondary (5-10km),0.492,0.107,202512,202412
4054,Keperra,0.378,19787.0,1.629,114.35,71.33,1.6,West End,7.81,Secondary (5-10km),0.333,0.045,202512,202412
4055,Ferny Hills,0.38,33390.0,1.523,134.39,87.81,1.53,West End,11.63,Extended (10-20km),0.408,-0.028,202512,202412
4059,Kelvin Grove,1.524,71525.0,5.474,107.96,53.27,2.03,West End,2.57,Core (0-3km),1.675,-0.151,202512,202412
4060,Ashgrove,0.998,55902.0,3.902,144.51,81.72,1.77,West End,3.76,Primary (3-5km),0.937,0.061,202512,202412
4061,The Gap (Brisbane - Qld),0.492,36325.0,2.295,124.11,71.85,1.73,West End,8.73,Secondary (5-10km),0.431,0.061,202512,202412
4064,Paddington (Qld),2.042,91685.0,7.004,127.96,67.25,1.9,West End,46.04,No Presence (20km+),2.138,-0.096,202512,202412
4065,Bardon,1.366,56806.0,4.805,148.31,86.16,1.72,West End,4.36,Primary (3-5km),1.504,-0.138,202512,202412
4066,Toowong,1.544,98208.0,5.9,107.77,60.37,1.79,West End,3.81,Primary (3-5km),1.604,-0.06,202512,202412
4067,St Lucia,1.267,50916.0,5.321,87.96,51.01,1.72,West End,13.46,Extended (10-20km),1.537,-0.27,202512,202412
4068,Indooroopilly,1.045,93745.0,3.9,115.8,62.65,1.85,West End,6.2,Secondary (5-10km),0.99,0.055,202512,202412
4069,Chapel Hill (Qld),0.661,95630.0,3.17,119.2,77.35,1.54,West End,11.46,Extended (10-20km),0.543,0.118,202512,202412
4070,Bellbowrie,0.313,15967.0,1.851,99.39,87.55,1.14,West End,18.39,Extended (10-20km),0.356,-0.043,202512,202412
4073,Sinnamon Park,0.496,16426.0,2.03,117.41,88.6,1.33,West End,11.43,Extended (10-20km),0.463,0.033,202512,202412
4074,Jindalee (Qld),0.307,24188.0,1.613,88.27,60.0,1.47,West End,13.61,Extended (10-20km),0.269,0.038,202512,202412
4075,Oxley (Qld),0.594,53935.0,2.331,119.39,74.14,1.61,West End,8.89,Secondary (5-10km),0.638,-0.044,202512,202412
4076,Darra,0.348,4687.0,1.16,81.4,68.15,1.19,West End,14.53,Extended (10-20km),0.162,0.186,202512,202412
4077,Inala,0.209,14017.0,0.808,66.57,50.23,1.33,West End,15.64,Extended (10-20km),0.233,-0.024,202512,202412
4078,Forest Lake,0.193,13443.0,0.911,66.46,57.95,1.15,West End,18.49,Extended (10-20km),0.137,0.056,202512,202412
4101,South Brisbane,11.109,1533489.0,32.394,144.76,49.6,2.92,West End,1.92,Core (0-3km),11.079,0.03,202512,202412
4102,Woolloongabba,2.44,90352.0,8.438,104.59,56.2,1.86,West End,3.19,Primary (3-5km),2.293,0.147,202512,202412
4103,Annerley,1.814,90860.0,5.676,126.34,68.52,1.84,West End,4.96,Primary (3-5km),1.681,0.133,202512,202412
4104,Yeronga,1.831,44607.0,6.587,115.57,67.97,1.7,West End,5.67,Secondary (5-10km),2.007,-0.176,202512,202412
4105,Moorooka,0.897,43304.0,3.772,103.24,65.82,1.57,West End,7.36,Secondary (5-10km),1.213,-0.316,202512,202412
4106,Rocklea (Qld),,,,,,,West End,8.45,Secondary (5-10km),0.59,,202512,202412
