department_code,department_name,major_group_code,major_group_name,minor_group_code,minor_group_name,item_family_code,item_family_name,source
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,105,Beans French,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,107,Beans Broad,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,108,Beans Butter,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,109,Beans Flat,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,110,Beans Italian,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,111,Beans Red,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,115,Broccoli Tender Stem,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,116,Broccoli,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,122,Cabbage,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,125,Cabbage Savoy,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,128,Cabbage Red,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,131,Cabbage Tuscan,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,133,Capsicums Red,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,134,Capsicums Green,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,135,Capsicums Butter,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,136,Capsicums Orange,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,147,Celery,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,151,Chilli Hot,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,152,Chilli Bullhorn,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,154,Chilli Bullhorn Yellow,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,168,Sin Qua,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,175,Cucumber Apple,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,176,Cucumber Telegraph,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,177,Cucumber Green,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,180,Eggplant,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,181,Eggplant Small,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,182,Eggplant Thai,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,187,Gherkins,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,194,Eggplant European,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,222,Leeks Bunch,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,224,Baby Cos Living,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,225,Lettuce,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,226,Baby Cos Twin Packs,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,227,Lettuce Cos,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,230,Lettuce Rapa,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,232,Malahia,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,248,Peas,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,249,Peas Snow,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,253,Mushrooms Jumbo,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,259,Peas Honey Snap,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,280,Soup Pack,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,290,Squash Spaghetti,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,294,Turmeric,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,304,Turnip White,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,305,Witloff,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,306,Zucchini Black,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,307,Zucchini Grey,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,308,Stir Fry,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,320,Alfalfa,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,383,Yams,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,704,Flower Edible,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,705,Pandan Leaves,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,707,Beanettes,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,710,Chilli Long Hot,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,712,Jalapeno,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,1335,Capsicums Mini,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,1511,Habanero,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,1751,Chilli Thai,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,2801,Roast Pack,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,1,Vegetables,9980,For Budget Only,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,2,Tomatoes,292,Tomatoes Egg Sensation,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,2,Tomatoes,295,Tomatoes Amorosa,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,2,Tomatoes,296,Tomatoes Grape Kumato,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,2,Tomatoes,297,Tomatoes Ox Heart,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,2,Tomatoes,298,Tomatoes Truss,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,2,Tomatoes,300,Tomatoes,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,2,Tomatoes,301,Tomatoes Cherry,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,2,Tomatoes,302,Tomatoes Mini Roma,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,2,Tomatoes,303,Tomatoes Egg,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,2,Tomatoes,311,Tomatoes Vine Ripened,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,2,Tomatoes,312,Tomatoes Grape Golden,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,2,Tomatoes,313,Tomatoes Egg Vine Ripe,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,2,Tomatoes,316,Tomatoes Sampari,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,2,Tomatoes,317,Tomatoes Medley Mix,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,2,Tomatoes,2298,Tomatoes Rosso Bruno,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,2,Tomatoes,2981,Tomatoes Truss Otello,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,2,Tomatoes,3974,Tomatoes Heirloom,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,2,Tomatoes,7288,Tomatoes Cherry Sweet Pearl,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,2,Tomatoes,7295,Tomatoes Johny Lovebits,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,2,Tomatoes,7298,Tomatoes Grape,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,2,Tomatoes,72987,Tomatoes Sweet Delights,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,137,Carrots Med,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,138,Carrots Small,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,170,Chokoes,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,185,Garlic,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,186,Ginger,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,189,Galangal,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,241,Onion Brown,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,242,Onion White,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,243,Onion Pickling,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,244,Onion Spanish,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,247,Parsnips,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,250,Potatoes Chats,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,251,Potatoes Washed,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,252,Potatoes Brushed,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,254,Potatoes Pontiacs,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,257,Potatoes Kumera,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,258,Potatoes Sweet,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,262,Pumpkin Qld Blue,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,264,Pumpkin Gramma,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,266,Pumpkin Butternut,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,268,Pumpkin Gold Nugget,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,287,Swedes,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,288,Taroroot,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,293,Pumpkin Kent,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,334,Eschallots French,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,382,Potatoes Desiree,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,391,Potatoes Peeled,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,392,Pumpkin Peeled,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,397,Onion Salad,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,748,Potatoes Kestrel,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,749,Potato Hawian Sweet,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,752,Potatoes Kipfler,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,753,Potatoes Dutch Cream,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,754,Potatoes Bintje,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,756,Potatoes Purple Congo,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,758,Potatoes King Edward,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,759,Potatoes Charlotte,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,762,Potatoes Kestrel,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,772,Potato Red Ruby Lou,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,1381,Snackable Carrots,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,1851,Garlic Fresh Bunch,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,1861,Ginger Ea,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,2662,Pumpkin Coventry,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,2664,Pumpkin Orange Glow,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,7137,Crisp & Fresh Carrots,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,3,Hard Vegetables,8380,Carrot Juice,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,104,Asparagus,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,112,Beans Snake,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,114,Beetroot,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,117,Brussels Sprouts,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,119,Cauliflower Purple,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,120,Cabbage Chinese,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,139,Carrots (dutch) Bunch,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,141,Cauliflower,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,142,Orange Cauliflower,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,144,Celeriac Bunch,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,145,Celeriac Loose,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,150,Chickory,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,161,Chick Qua,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,172,Corn,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,173,Corn Baby,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,178,Cucumber Lebanese,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,184,Endive,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,190,Aniseed Bunch,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,191,Fennel Loose,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,193,Artichoke Each Local,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,199,Artichoke Victorian,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,211,Baby Beetroot,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,220,Kohlrabi,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,221,Kale,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,228,Lettuce Mignionette,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,231,Lettuce Radichia,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,235,Mushroom Pine,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,237,Mushrooms Cups,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,239,Mushrooms Oyster,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,240,Okra,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,245,Onion Spring,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,246,Mushroom King Brown,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,270,Radish Red,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,271,Radish White,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,274,Rhubarb,F&V Shrinkage Retail
10,Fruit & Vegetables,1,Vegetables,4,Highly Perishable Vegies,275,Scallopini,F&V Shrinkage Retail
