Store,Channel,FY_LOL,Rolling_13Wk_LOL,Rolling_13Wk_LOL_728,FV_Store,WE_2026_02_08_Actual,WE_2026_02_08_LY_364,WE_2026_02_08_Var_LY,WE_2026_02_08_Var_Pct,WE_2026_02_08_2YR_728,WE_2026_02_08_Var_2YR,WE_2026_02_01_Actual,WE_2026_02_01_LY_364,WE_2026_02_01_Var_LY,WE_2026_02_01_Var_Pct,WE_2026_02_01_2YR_728,WE_2026_02_01_Var_2YR,WE_2026_01_25_Actual,WE_2026_01_25_LY_364,WE_2026_01_25_Var_LY,WE_2026_01_25_Var_Pct,WE_2026_01_25_2YR_728,WE_2026_01_25_Var_2YR,WE_2026_01_18_Actual,WE_2026_01_18_LY_364,WE_2026_01_18_Var_LY,WE_2026_01_18_Var_Pct,WE_2026_01_18_2YR_728,WE_2026_01_18_Var_2YR
10 - HFM Pennant Hills,Retail,1,1,1,1,,,,0,8981,,,,,0,8906,,,,,0,8266,,,,,0,8101,
11 - HFM Meats Pennant Hills,Retail,1,1,1,0,,,,0,2351,,,,,0,2350,,,,,0,2347,,,,,0,2218,
13 - HFM Meats Willoughby,Retail,0,0,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,
19 - HFM Meats Mosman,Retail,1,1,1,0,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,
24 - HFM St Ives,Retail,1,1,1,1,,,,0,11710,,,,,0,11829,,,,,0,11818,,,,,0,10926,
28 - HFM Mosman,Retail,1,1,1,1,,,,0,16106,,,,,0,16509,,,,,0,16074,,,,,0,15118,
29 - HFM Bondi Junction,Retail,0,0,0,1,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,
32 - HFM Willoughby,Retail,1,1,1,1,,,,0,9305,,,,,0,9274,,,,,0,8945,,,,,0,8324,
37 - HFM Broadway,Retail,1,1,1,1,,,,0,13592,,,,,0,13831,,,,,0,13640,,,,,0,13165,
38 - HFM Glendale,Retail,0,0,0,1,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,
40 - HFM Erina,Retail,1,1,1,1,,,,0,13102,,,,,0,13304,,,,,0,13556,,,,,0,12966,
44 - HFM Orange,Retail,1,1,1,1,,,,0,7827,,,,,0,8071,,,,,0,7799,,,,,0,7722,
48 - HFM Manly,Retail,1,1,1,1,,,,0,12900,,,,,0,13075,,,,,0,13113,,,,,0,12471,
49 - HFM Mona Vale,Retail,1,1,1,1,,,,0,10904,,,,,0,11164,,,,,0,11119,,,,,0,10745,
50 - HFM Baulkham Hills,Retail,0,0,0,1,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,
51 - HFM Bowral,Retail,1,1,1,1,,,,0,7537,,,,,0,7423,,,,,0,7603,,,,,0,7079,
52 - HFM Cammeray,Retail,1,1,1,1,,,,0,10022,,,,,0,10022,,,,,0,9479,,,,,0,9126,
54 - HFM Potts Point,Retail,1,1,1,1,,,,0,12397,,,,,0,12627,,,,,0,12512,,,,,0,12268,
55 - HFM Dee Why,Retail,0,0,0,1,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,
56 - HFM Boronia Park,Retail,1,1,1,1,,,,0,7962,,,,,0,7882,,,,,0,7846,,,,,0,7407,
57 - HFM Bondi Beach,Retail,1,1,1,1,,,,0,13724,,,,,0,13754,,,,,0,13774,,,,,0,13309,
58 - HFM Drummoyne,Retail,1,1,1,1,,,,0,11120,,,,,0,11247,,,,,0,11156,,,,,0,10768,
59 - HFM Bathurst Concession,Retail,1,1,1,1,,,,0,7809,,,,,0,8107,,,,,0,7719,,,,,0,7613,
61 - HFM Moruya Concession,Retail,0,0,0,1,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,
63 - HFM Randwick,Retail,1,1,1,1,,,,0,15077,,,,,0,14998,,,,,0,14085,,,,,0,14161,
64 - HFM Leichhardt,Retail,1,1,1,1,,,,0,13566,,,,,0,13592,,,,,0,13539,,,,,0,13053,
65 - HFM Bondi Westfield,Retail,1,1,1,1,,,,0,18449,,,,,0,18491,,,,,0,17962,,,,,0,17937,
66 - HFM Newcastle,Retail,1,1,1,1,,,,0,13939,,,,,0,14461,,,,,0,14356,,,,,0,14127,
67 - HFM Lindfield,Retail,1,1,1,1,,,,0,15116,,,,,0,14697,,,,,0,14363,,,,,0,13206,
68 - HFM Albury,Retail,1,1,0,1,,,,0,9629,,,,,0,9388,,,,,0,10089,,,,,0,9471,
69 - HFM Rose Bay,Retail,1,1,0,1,,,,0,8881,,,,,0,9000,,,,,0,8880,,,,,0,8306,
70 - HFM West End,Retail,1,1,0,1,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,
71 - HFM Potts Point Kitchen,Retail,0,0,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,
72 - HFM Wagga Concession,Retail,0,0,0,1,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,
74 - HFM Isle of Capri,Retail,0,0,0,1,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,
75 - HFM Clayfield,Retail,1,1,0,1,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,
76 - HFM Lane Cove,Retail,0,0,0,1,,,,0,12556,,,,,0,12648,,,,,0,12555,,,,,0,11844,
Total Retail + conc.,,,,,,,,,0,284562,,,,,0,286650,,,,,0,282595,,,,,0,271431,
LOL,,,,,,,,,0,272006,,,,,0,274002,,,,,0,270040,,,,,0,259587,
LOL excl. Bondi Junc,,,,,,,,,0,272006,,,,,0,274002,,,,,0,270040,,,,,0,259587,
LOL incl. Westfield + Meats Mosman,,,,,,,,,0,224441,,,,,0,226456,,,,,0,222352,,,,,0,214477,
Online,Online,,,,,,,,0,2338,,,,,0,2869,,,,,0,2598,,,,,0,2511,
LOL 364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOL 728,,,,,,,,,0,224441,,,,,0,226456,,,,,0,222352,,,,,0,214477,
Online,Online,,,,,,,,0,2338,,,,,0,2869,,,,,0,2598,,,,,0,2511,
